file,class_markings,redactions,dates_found,agencies
059uap00011.txt,1,0,1,0
059uap00012.txt,12,0,1,4
059uap00013.txt,29,0,1,2
65_hs1-834228961_62-hq-83894_section_6.OCR.txt,35,0,139,62
dos-uap-d1-cable-1-papua-new-guinea-january-1985.txt,16,0,2,0
dos-uap-d2-cable-2-kazakhstan-january-1994.txt,17,0,2,2
dow-uap-d10-mission-report-middle-east-may-2022.txt,18,0,6,6
dow-uap-d12-mission-report-iraq-may-2022.txt,13,0,6,6
dow-uap-d14-mission-report-iraq-may-2022.txt,14,0,9,9
dow-uap-d16-mission-report-syria-july-2022.txt,0,0,7,7
dow-uap-d18-mission-report-iraq-december-2022.txt,0,0,6,6
dow-uap-d19-mission-report-syria-february-21-2023.txt,1,0,10,10
dow-uap-d20-mission-report-southern-united-states-2023.txt,0,0,6,6
dow-uap-d23-mission-report-united-arab-emirates-october-2023.txt,18,0,4,2
dow-uap-d25-mission-report-greece-january-2024.txt,25,0,7,8
dow-uap-d27-mission-report-united-arab-emirates-october-2023.txt,35,0,8,9
dow-uap-d28-mission-report-east-china-sea-2024.txt,15,0,6,7
dow-uap-d3-mission-report-arabian-gulf-2020.txt,2,0,0,0
"dow-uap-d32-mission-report,-syria-october-2024.txt",43,0,10,10
dow-uap-d33-mission-report-greece-october-2023.txt,4,0,3,7
dow-uap-d35-mission-report-greece-october-2023.txt,4,0,6,7
dow-uap-d38-range-fouler-debrief-middle-east-may-2020.txt,0,0,0,1
dow-uap-d4-mission-report-arabian-gulf-2020.txt,1,0,0,0
dow-uap-d42-range-fouler-debrief-japan-2023.txt,1,0,0,0
dow-uap-d44-range-fouler-arabian-sea-october-2020.txt,0,0,0,0
dow-uap-d48-report-september-1996.txt,4,0,19,199
dow-uap-d49-launch-summary-february-2000.txt,0,0,16,103
dow-uap-d5-mission-report-arabian-gulf-2020.txt,0,0,0,0
dow-uap-d50-email-correspondence-indopacom-april-2025.txt,11,0,0,2
dow-uap-d51-email-correspondence-pacific-time-zone-march-2023.txt,4,0,0,3
dow-uap-d52-email-correspondance-na-august-2024.txt,4,0,0,0
dow-uap-d54-mission-report-mediterranean-sea-na.txt,4,0,0,0
dow-uap-d55-mission-report-syria-november-2016.txt,0,0,1,1
dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.txt,0,0,0,0
dow-uap-d57-mission-report-gulf-of-aden-september-2020.txt,1,0,0,0
dow-uap-d58-range-fouler-debrief-na-october-2020.txt,0,0,0,1
dow-uap-d61-mission-report-persian-gulf-august-2020.txt,0,0,4,0
dow-uap-d62-mission-report-strait-of-hormuz-september-2020.txt,0,0,1,0
dow-uap-d64-mission-report-iran-november-2020.txt,14,0,5,0
dow-uap-d7-mission-report-arabian-gulf-2020.txt,1,0,0,0
dow-uap-d74-mission-report-syria-november-2023.txt,59,0,20,11
dow-uap-d75-mission-report-gulf-of-aden-july-2024.txt,33,0,16,8
dow-uap-d8-mission-report-djibouti-2025.txt,2,0,0,0
dow-uap-pr20.txt,0,0,0,1
nasa-uap-d1-apollo-12-transcript-1969.txt,1,0,0,0
nasa-uap-d2-apollo-17-transcript-1972.txt,1,0,0,0
nasa-uap-d5-apollo-17-crew-debriefing-for-science-1973.txt,0,0,1,0
serial-4-redacted_redacted.txt,1,0,0,0
usper-statement-redacted.txt,4,0,0,0
western_us_event_slides_5.08.2026.txt,1,0,0,3
